"stname","clock","crazy","day"
"sinrim",10,92,"week"
"sinjeongnegeori",10,44,"week"
"sincheon",10,69,"week"
"sinchon",10,75,"week"
"ahyeon",10,78,"week"
"yangcheonguchong",10,54,"week"
"yeoksam",10,100,"week"
"yeongdeungpoguchong",10,90,"week"
"wangshipri",10,67,"week"
"yongdap",10,28,"week"
"yongdu",10,26,"week"
"eulji4ga",10,35,"week"
"euljiipgu",10,54,"week"
"ewhadae",10,72,"week"
"jamsil",10,67,"week"
"jonghapwoondongjang",10,69,"week"
"chungjeongro",10,78,"week"
"hanyangdae",10,57,"week"
"hapjeong",10,85,"week"
"hongdae",10,80,"week"
"karaksijang",10,21,"week"
"kyeongbokgoong",10,80,"week"
"keongchalhospital",10,13,"week"
"expressterminal",10,91,"week"
"gupabal",10,43,"week"
"geumho",10,90,"week"
"southterminal",10,76,"week"
"nokbeon",10,66,"week"
"daecheong",10,36,"week"
"daechi",10,40,"week"
"dokok",10,45,"week"
"dokripmoon",10,77,"week"
"dongdaeipgu",10,84,"week"
"maebong",10,48,"week"
"mooakjae",10,77,"week"
"boolkwang",10,60,"week"
"suseo",10,25,"week"
"sinsa",10,79,"week"
"ankook",10,87,"week"
"apgujeong",10,78,"week"
"yaksu",10,87,"week"
"yangjae",10,59,"week"
"yeonsinnae",10,54,"week"
"ogum",10,7,"week"
"oksu",10,89,"week"
"ilwon",10,31,"week"
"jamwon",10,84,"week"
"jichook",10,51,"week"
"choongmuro",10,166,"week"
"hakyeowool",10,37,"week"
"hongje",10,73,"week"
"killeum",10,71,"week"
"namtaeryeong",10,108,"week"
"nowon",10,23,"week"
"dangkokae",10,5,"week"
"dongjak",10,57,"week"
"myeongdong",10,64,"week"
"mia",10,59,"week"
"mia4keori",10,66,"week"
"samkakji",10,58,"week"
"sangkye",10,14,"week"
"sungsinyeodae",10,77,"week"
"sooyou",10,53,"week"
"sookmyeong",10,55,"week"
"sinyongsan",10,58,"week"
"ssangmoon",10,46,"week"
"ichon",10,60,"week"
"changdong",10,34,"week"
"chongsindae",10,60,"week"
"hanseongdae",10,81,"week"
"hyehwa",10,85,"week"
"hoihyeon",10,60,"week"
"kyodae",10,196,"week"
"dongdaemon",10,173,"week"
"dongyeoksa",10,135,"week"
"sadang",10,165,"week"
"seoulstation",10,118,"week"
"sichong",10,132,"week"
"sinsuldong",10,99,"week"
"eulji3ga",10,144,"week"
"jongro3ga",10,179,"week"
"dongmyo",11,82,"week"
"jegidong",11,72,"week"
"jongkak",11,80,"week"
"jongro5",11,87,"week"
"cheongryangri",11,67,"week"
"kangnam",11,111,"week"
"kangbyeon",11,65,"week"
"keondae",11,62,"week"
"gurodigital",11,93,"week"
"gooui",11,64,"week"
"kkachisan",11,19,"week"
"nakseongdae",11,105,"week"
"dangsan",11,85,"week"
"daerim",11,98,"week"
"dorimcheon",11,50,"week"
"ttooksum",11,63,"week"
"moonrae",11,87,"week"
"bangbae",11,112,"week"
"bongcheon",11,98,"week"
"samseong",11,77,"week"
"sangwangshipri",11,67,"week"
"seouldaeipgu",11,102,"week"
"seocho",11,112,"week"
"seonreung",11,95,"week"
"seongnae",11,63,"week"
"seongsu",11,69,"week"
"seongsuG",11,12,"week"
"sindap",11,25,"week"
"sindang",11,65,"week"
"sindaebang",11,92,"week"
"sindorim",11,89,"week"
"sindorimG",11,19,"week"
"sinrim",11,96,"week"
"sinjeongnegeori",11,40,"week"
"sincheon",11,73,"week"
"sinchon",11,73,"week"
"ahyeon",11,74,"week"
"yangcheonguchong",11,48,"week"
"yeoksam",11,110,"week"
"yeongdeungpoguchong",11,87,"week"
"wangshipri",11,67,"week"
"yongdap",11,21,"week"
"yongdu",11,23,"week"
"eulji4ga",11,35,"week"
"euljiipgu",11,53,"week"
"ewhadae",11,72,"week"
"jamsil",11,70,"week"
"jonghapwoondongjang",11,76,"week"
"chungjeongro",11,78,"week"
"hanyangdae",11,62,"week"
"hapjeong",11,81,"week"
"hongdae",11,75,"week"
"karaksijang",11,20,"week"
"kyeongbokgoong",11,75,"week"
"keongchalhospital",11,13,"week"
"expressterminal",11,99,"week"
"gupabal",11,40,"week"
"geumho",11,92,"week"
"southterminal",11,81,"week"
"nokbeon",11,60,"week"
"daecheong",11,38,"week"
"daechi",11,42,"week"
"dokok",11,46,"week"
"dokripmoon",11,69,"week"
"dongdaeipgu",11,87,"week"
"maebong",11,50,"week"
"mooakjae",11,68,"week"
"boolkwang",11,55,"week"
"suseo",11,29,"week"
"sinsa",11,90,"week"
"ankook",11,83,"week"
"apgujeong",11,89,"week"
"yaksu",11,90,"week"
"yangjae",11,64,"week"
"yeonsinnae",11,46,"week"
"ogum",11,7,"week"
"oksu",11,92,"week"
"ilwon",11,33,"week"
"jamwon",11,94,"week"
"jichook",11,55,"week"
"choongmuro",11,181,"week"
"hakyeowool",11,39,"week"
"hongje",11,66,"week"
"killeum",11,67,"week"
"namtaeryeong",11,108,"week"
"nowon",11,23,"week"
"dangkokae",11,4,"week"
"dongjak",11,67,"week"
"myeongdong",11,77,"week"
"mia",11,57,"week"
"mia4keori",11,63,"week"
"samkakji",11,65,"week"
"sangkye",11,12,"week"
"sungsinyeodae",11,74,"week"
"sooyou",11,52,"week"
"sookmyeong",11,67,"week"
"sinyongsan",11,63,"week"
"ssangmoon",11,44,"week"
"ichon",11,62,"week"
"changdong",11,34,"week"
"chongsindae",11,68,"week"
"hanseongdae",11,81,"week"
"hyehwa",11,86,"week"
"hoihyeon",11,71,"week"
"kyodae",11,206,"week"
"dongdaemon",11,175,"week"
"dongyeoksa",11,135,"week"
"sadang",11,172,"week"
"seoulstation",11,137,"week"
"sichong",11,140,"week"
"sinsuldong",11,92,"week"
"eulji3ga",11,144,"week"
"jongro3ga",11,176,"week"
"dongmyo",12,92,"week"
"jegidong",12,78,"week"
"jongkak",12,84,"week"
"jongro5",12,95,"week"
"cheongryangri",12,69,"week"
"kangnam",12,119,"week"
"kangbyeon",12,69,"week"
"keondae",12,70,"week"
"gurodigital",12,101,"week"
"gooui",12,70,"week"
"kkachisan",12,18,"week"
"nakseongdae",12,113,"week"
"dangsan",12,98,"week"
"daerim",12,104,"week"
"dorimcheon",12,51,"week"
"ttooksum",12,68,"week"
"moonrae",12,102,"week"
"bangbae",12,117,"week"
"bongcheon",12,102,"week"
"samseong",12,81,"week"
"sangwangshipri",12,77,"week"
"seouldaeipgu",12,107,"week"
"seocho",12,119,"week"
"seonreung",12,97,"week"
"seongnae",12,66,"week"
"seongsu",12,69,"week"
"seongsuG",12,14,"week"
"sindap",12,21,"week"
"sindang",12,76,"week"
"sindaebang",12,97,"week"
"sindorim",12,106,"week"
"sindorimG",12,22,"week"
"sinrim",12,101,"week"
"sinjeongnegeori",12,40,"week"
"sincheon",12,76,"week"
"sinchon",12,85,"week"
"ahyeon",12,88,"week"
"yangcheonguchong",12,48,"week"
"yeoksam",12,113,"week"
"yeongdeungpoguchong",12,99,"week"
"wangshipri",12,74,"week"
"yongdap",12,23,"week"
"yongdu",12,26,"week"
"eulji4ga",12,42,"week"
"euljiipgu",12,62,"week"
"ewhadae",12,84,"week"
"jamsil",12,75,"week"
"jonghapwoondongjang",12,77,"week"
"chungjeongro",12,88,"week"
"hanyangdae",12,67,"week"
"hapjeong",12,94,"week"
"hongdae",12,89,"week"
"karaksijang",12,19,"week"
"kyeongbokgoong",12,74,"week"
"keongchalhospital",12,13,"week"
"expressterminal",12,92,"week"
"gupabal",12,36,"week"
"geumho",12,91,"week"
"southterminal",12,79,"week"
"nokbeon",12,58,"week"
"daecheong",12,36,"week"
"daechi",12,40,"week"
"dokok",12,45,"week"
"dokripmoon",12,70,"week"
"dongdaeipgu",12,88,"week"
"maebong",12,50,"week"
"mooakjae",12,68,"week"
"boolkwang",12,51,"week"
"suseo",12,25,"week"
"sinsa",12,86,"week"
"ankook",12,87,"week"
"apgujeong",12,87,"week"
"yaksu",12,90,"week"
"yangjae",12,60,"week"
"yeonsinnae",12,45,"week"
"ogum",12,6,"week"
"oksu",12,90,"week"
"ilwon",12,31,"week"
"jamwon",12,87,"week"
"jichook",12,50,"week"
"choongmuro",12,189,"week"
"hakyeowool",12,37,"week"
"hongje",12,63,"week"
"killeum",12,69,"week"
"namtaeryeong",12,122,"week"
"nowon",12,24,"week"
"dangkokae",12,4,"week"
"dongjak",12,68,"week"
"myeongdong",12,82,"week"
"mia",12,59,"week"
"mia4keori",12,64,"week"
"samkakji",12,72,"week"
"sangkye",12,12,"week"
"sungsinyeodae",12,76,"week"
"sooyou",12,54,"week"
"sookmyeong",12,69,"week"
"sinyongsan",12,71,"week"
"ssangmoon",12,47,"week"
"ichon",12,71,"week"
"changdong",12,37,"week"
"chongsindae",12,68,"week"
"hanseongdae",12,81,"week"
"hyehwa",12,89,"week"
"hoihyeon",12,78,"week"
"kyodae",12,211,"week"
"dongdaemon",12,192,"week"
"dongyeoksa",12,152,"week"
"sadang",12,183,"week"
"seoulstation",12,145,"week"
"sichong",12,153,"week"
"sinsuldong",12,98,"week"
"eulji3ga",12,151,"week"
"jongro3ga",12,186,"week"
"dongmyo",13,89,"week"
"jegidong",13,76,"week"
"jongkak",13,92,"week"
"jongro5",13,100,"week"
"cheongryangri",13,65,"week"
"kangnam",13,136,"week"
"kangbyeon",13,76,"week"
"keondae",13,77,"week"
"gurodigital",13,111,"week"
"gooui",13,77,"week"
"kkachisan",13,16,"week"
"nakseongdae",13,126,"week"
"dangsan",13,106,"week"
"daerim",13,115,"week"
"dorimcheon",13,53,"week"
"ttooksum",13,76,"week"
"moonrae",13,112,"week"
"bangbae",13,133,"week"
"bongcheon",13,116,"week"
"samseong",13,92,"week"
"sangwangshipri",13,85,"week"
"seouldaeipgu",13,120,"week"
"seocho",13,133,"week"
"seonreung",13,112,"week"
"seongnae",13,77,"week"
"seongsu",13,77,"week"
"seongsuG",13,15,"week"
"sindap",13,32,"week"
"sindang",13,84,"week"
"sindaebang",13,109,"week"
"sindorim",13,114,"week"
"sindorimG",13,27,"week"
"sinrim",13,113,"week"
"sinjeongnegeori",13,40,"week"
"sincheon",13,87,"week"
"sinchon",13,95,"week"
