routenum,ord,stationid,arsid,encode
100,30,명륜3가성대입구,1003,%EB%AA%85%EB%A5%9C3%EA%B0%80%EC%84%B1%EB%8C%80%EC%9E%85%EA%B5%AC
100,31,창경궁서울대학교병원,1002,%EC%B0%BD%EA%B2%BD%EA%B6%81%EC%84%9C%EC%9A%B8%EB%8C%80%ED%95%99%EA%B5%90%EB%B3%91%EC%9B%90
100,32,원남동,1198,%EC%9B%90%EB%82%A8%EB%8F%99
100,33,광장시장,1247,%EA%B4%91%EC%9E%A5%EC%8B%9C%EC%9E%A5
100,34,을지로4가,2162,%EC%9D%84%EC%A7%80%EB%A1%9C4%EA%B0%80
100,35,을지로3가,2160,%EC%9D%84%EC%A7%80%EB%A1%9C3%EA%B0%80
100,36,을지로2가.기업은행본점.서울노동청,2158,%EC%9D%84%EC%A7%80%EB%A1%9C2%EA%B0%80.%EA%B8%B0%EC%97%85%EC%9D%80%ED%96%89%EB%B3%B8%EC%A0%90.%EC%84%9C%EC%9A%B8%EB%85%B8%EB%8F%99%EC%B2%AD
100,37,롯데백화점,2140,%EB%A1%AF%EB%8D%B0%EB%B0%B1%ED%99%94%EC%A0%90
100,38,북창동.남대문시장,2127,%EB%B6%81%EC%B0%BD%EB%8F%99.%EB%82%A8%EB%8C%80%EB%AC%B8%EC%8B%9C%EC%9E%A5
100,39,서울역.YTN,2008,%EC%84%9C%EC%9A%B8%EC%97%AD.YTN
100,40,서울역버스환승센터,2004,%EC%84%9C%EC%9A%B8%EC%97%AD%EB%B2%84%EC%8A%A4%ED%99%98%EC%8A%B9%EC%84%BC%ED%84%B0
100,41,갈월동,3012,%EA%B0%88%EC%9B%94%EB%8F%99
100,42,숙대입구역,3010,%EC%88%99%EB%8C%80%EC%9E%85%EA%B5%AC%EC%97%AD
100,43,삼각지역,3008,%EC%82%BC%EA%B0%81%EC%A7%80%EC%97%AD
100,44,KT용산지사,3006,KT%EC%9A%A9%EC%82%B0%EC%A7%80%EC%82%AC
100,45,신용산역,3004,%EC%8B%A0%EC%9A%A9%EC%82%B0%EC%97%AD
100,46,한강대교북단,3002,%ED%95%9C%EA%B0%95%EB%8C%80%EA%B5%90%EB%B6%81%EB%8B%A8
100,47,이촌동동부센트레빌,3214,%EC%9D%B4%EC%B4%8C%EB%8F%99%EB%8F%99%EB%B6%80%EC%84%BC%ED%8A%B8%EB%A0%88%EB%B9%8C
100,48,이촌1동충신교회앞,3216,%EC%9D%B4%EC%B4%8C1%EB%8F%99%EC%B6%A9%EC%8B%A0%EA%B5%90%ED%9A%8C%EC%95%9E
100,49,이촌동한강맨션.이촌역,3218,%EC%9D%B4%EC%B4%8C%EB%8F%99%ED%95%9C%EA%B0%95%EB%A7%A8%EC%85%98.%EC%9D%B4%EC%B4%8C%EC%97%AD
100,50,신용산초등학교,3220,%EC%8B%A0%EC%9A%A9%EC%82%B0%EC%B4%88%EB%93%B1%ED%95%99%EA%B5%90
100,51,이촌동점보아파트,3222,%EC%9D%B4%EC%B4%8C%EB%8F%99%EC%A0%90%EB%B3%B4%EC%95%84%ED%8C%8C%ED%8A%B8
100,52,금강병원.반도아파트,3224,%EA%B8%88%EA%B0%95%EB%B3%91%EC%9B%90.%EB%B0%98%EB%8F%84%EC%95%84%ED%8C%8C%ED%8A%B8
100,53,서빙고신동아아파트,3226,%EC%84%9C%EB%B9%99%EA%B3%A0%EC%8B%A0%EB%8F%99%EC%95%84%EC%95%84%ED%8C%8C%ED%8A%B8
100,54,서빙고역1번출구,3157,%EC%84%9C%EB%B9%99%EA%B3%A0%EC%97%AD1%EB%B2%88%EC%B6%9C%EA%B5%AC
100,55,한강중학교,3155,%ED%95%9C%EA%B0%95%EC%A4%91%ED%95%99%EA%B5%90
100,56,용산구청.크라운호텔,3153,%EC%9A%A9%EC%82%B0%EA%B5%AC%EC%B2%AD.%ED%81%AC%EB%9D%BC%EC%9A%B4%ED%98%B8%ED%85%94
100,57,용산구청.크라운호텔,3154,%EC%9A%A9%EC%82%B0%EA%B5%AC%EC%B2%AD.%ED%81%AC%EB%9D%BC%EC%9A%B4%ED%98%B8%ED%85%94
100,58,한강중학교,3269,%ED%95%9C%EA%B0%95%EC%A4%91%ED%95%99%EA%B5%90
100,59,금호베스트빌앞,3270,%EA%B8%88%ED%98%B8%EB%B2%A0%EC%8A%A4%ED%8A%B8%EB%B9%8C%EC%95%9E
100,60,서빙고초등학교,3336,%EC%84%9C%EB%B9%99%EA%B3%A0%EC%B4%88%EB%93%B1%ED%95%99%EA%B5%90
100,61,서빙고역교차로,3267,%EC%84%9C%EB%B9%99%EA%B3%A0%EC%97%AD%EA%B5%90%EC%B0%A8%EB%A1%9C
100,62,서빙고역1번출구,3325,%EC%84%9C%EB%B9%99%EA%B3%A0%EC%97%AD1%EB%B2%88%EC%B6%9C%EA%B5%AC
100,63,서빙고신동아아파트,3225,%EC%84%9C%EB%B9%99%EA%B3%A0%EC%8B%A0%EB%8F%99%EC%95%84%EC%95%84%ED%8C%8C%ED%8A%B8
100,64,이촌동현대아파트,3223,%EC%9D%B4%EC%B4%8C%EB%8F%99%ED%98%84%EB%8C%80%EC%95%84%ED%8C%8C%ED%8A%B8
100,65,이촌동강촌아파트,3221,%EC%9D%B4%EC%B4%8C%EB%8F%99%EA%B0%95%EC%B4%8C%EC%95%84%ED%8C%8C%ED%8A%B8
100,66,신용산초등학교,3219,%EC%8B%A0%EC%9A%A9%EC%82%B0%EC%B4%88%EB%93%B1%ED%95%99%EA%B5%90
100,67,이촌동한가람아파트.이촌역,3217,%EC%9D%B4%EC%B4%8C%EB%8F%99%ED%95%9C%EA%B0%80%EB%9E%8C%EC%95%84%ED%8C%8C%ED%8A%B8.%EC%9D%B4%EC%B4%8C%EC%97%AD
100,68,이촌동두산위브트레지움.한강대우아파트,3215,%EC%9D%B4%EC%B4%8C%EB%8F%99%EB%91%90%EC%82%B0%EC%9C%84%EB%B8%8C%ED%8A%B8%EB%A0%88%EC%A7%80%EC%9B%80.%ED%95%9C%EA%B0%95%EB%8C%80%EC%9A%B0%EC%95%84%ED%8C%8C%ED%8A%B8
100,69,한강대교북단,3001,%ED%95%9C%EA%B0%95%EB%8C%80%EA%B5%90%EB%B6%81%EB%8B%A8
100,70,신용산역,3003,%EC%8B%A0%EC%9A%A9%EC%82%B0%EC%97%AD
100,71,KT용산지사,3005,KT%EC%9A%A9%EC%82%B0%EC%A7%80%EC%82%AC
100,72,삼각지역,3007,%EC%82%BC%EA%B0%81%EC%A7%80%EC%97%AD
100,73,숙대입구역,3009,%EC%88%99%EB%8C%80%EC%9E%85%EA%B5%AC%EC%97%AD
100,74,갈월동,3011,%EA%B0%88%EC%9B%94%EB%8F%99
100,75,서울역버스환승센터,2007,%EC%84%9C%EC%9A%B8%EC%97%AD%EB%B2%84%EC%8A%A4%ED%99%98%EC%8A%B9%EC%84%BC%ED%84%B0
100,76,남대문시장.신한은행,2219,%EB%82%A8%EB%8C%80%EB%AC%B8%EC%8B%9C%EC%9E%A5.%EC%8B%A0%ED%95%9C%EC%9D%80%ED%96%89
100,77,롯데영프라자,2142,%EB%A1%AF%EB%8D%B0%EC%98%81%ED%94%84%EB%9D%BC%EC%9E%90
100,78,을지로입구(외환은행본점),2156,%EC%9D%84%EC%A7%80%EB%A1%9C%EC%9E%85%EA%B5%AC%28%EC%99%B8%ED%99%98%EC%9D%80%ED%96%89%EB%B3%B8%EC%A0%90%29
100,79,을지로2가,2159,%EC%9D%84%EC%A7%80%EB%A1%9C2%EA%B0%80
100,80,을지로3가,2161,%EC%9D%84%EC%A7%80%EB%A1%9C3%EA%B0%80
100,81,을지로4가,2163,%EC%9D%84%EC%A7%80%EB%A1%9C4%EA%B0%80
